"filename","name_orig","name_new"
newz117.rwl,SE01,auA
newz117.rwl,SE02,auB
newz117.rwl,SE03,auC
newz117.rwl,SE04,auD
newz117.rwl,SE05,auE
newz117.rwl,SE06,auF
newz117.rwl,SE07,auG
newz117.rwl,SE08,auH
newz117.rwl,SE09,auI
newz117.rwl,SE10,auJ
newz117.rwl,SE11,auK
newz117.rwl,SE12,auL
newz117.rwl,SE13,auM
newz117.rwl,SE14,auN
newz117.rwl,SE15,auO
newz117.rwl,NW01,auP
newz117.rwl,NW02,auQ
newz117.rwl,NW03,auR
newz117.rwl,NW04,auS
newz117.rwl,NW07,auT
newz117.rwl,NW08,auU
newz117.rwl,NW09,auV
newz117.rwl,NW10,auW
newz117.rwl,NW11,auX
newz117.rwl,NW12,auY
newz117.rwl,NW13,auZ
newz117.rwl,NW14,auAA
newz117.rwl,NW15,auAB
newz117.rwl,CB04,auAC
newz117.rwl,CB05,auAD
newz116.rwl,TOW101A,auAE
newz116.rwl,TOW101B,auAF
newz116.rwl,TOW101C,auAG
newz116.rwl,TOW101D,auAH
newz116.rwl,TOW102A,auAI
newz116.rwl,TOW102B,auAJ
newz116.rwl,TOW103B,auAK
newz116.rwl,TOW105A,auAL
newz116.rwl,TOW105B,auAM
newz116.rwl,TOW105C,auAN
newz116.rwl,TOW106A,auAO
newz116.rwl,TOW106B,auAP
newz116.rwl,TOW107A,auAQ
newz116.rwl,TOW108A,auAR
newz116.rwl,TOW108B,auAS
newz116.rwl,TOW108C,auAT
newz116.rwl,TOW109A,auAU
newz116.rwl,TOW109B,auAV
newz116.rwl,TOW110A,auAW
newz116.rwl,TOW110B,auAX
newz116.rwl,TOW110C,auAY
newz116.rwl,TOW111A,auAZ
newz116.rwl,TOW111C,auBA
newz116.rwl,TOW111B,auBB
newz116.rwl,TOW112A,auBC
newz116.rwl,TOW112B,auBD
newz116.rwl,TOW113A,auBE
newz116.rwl,TOW113B,auBF
newz116.rwl,TOW114A,auBG
newz116.rwl,TOW114B,auBH
newz116.rwl,TOW115A,auBI
newz116.rwl,TOW115B,auBJ
newz116.rwl,TOW117A,auBK
newz116.rwl,TOW117B,auBL
newz116.rwl,TOW118A,auBM
newz116.rwl,TOW118B,auBN
newz116.rwl,TOW118C,auBO
newz116.rwl,TOW119A,auBP
newz116.rwl,TOW119B,auBQ
newz116.rwl,TOW120A,auBR
newz116.rwl,TOW120B,auBS
newz116.rwl,TOW121A,auBT
newz116.rwl,TOW121B,auBU
newz116.rwl,TOW122A,auBV
newz116.rwl,TOW122B,auBW
newz116.rwl,TOW122C,auBX
newz116.rwl,TOW123A,auBY
newz116.rwl,TOW123B,auBZ
newz116.rwl,TOW123C,auCA
newz116.rwl,TOW124A,auCB
newz116.rwl,TOW124B,auCC
newz116.rwl,TOW124C,auCD
newz116.rwl,TOW125A,auCE
newz116.rwl,TOW125B,auCF
newz116.rwl,TOW126A,auCG
newz116.rwl,TOW126B,auCH
newz116.rwl,TOW128A,auCI
newz116.rwl,TOW128B,auCJ
newz116.rwl,TOW002A,auCK
newz116.rwl,TOW002B,auCL
newz116.rwl,TOW002C,auCM
newz116.rwl,TOW002E,auCN
newz116.rwl,TOW002F,auCO
newz116.rwl,TOW002G,auCP
newz116.rwl,TOW002H,auCQ
newz116.rwl,TOW002I,auCR
newz116.rwl,TOW002K,auCS
newz116.rwl,CRW0012,auCT
newz116.rwl,CRW0022,auCU
newz116.rwl,CRW0023,auCV
newz116.rwl,CRW0024,auCW
newz116.rwl,CRW0031,auCX
newz116.rwl,CRW0032,auCY
newz116.rwl,CRW0041,auCZ
newz116.rwl,TOW302A,auDA
newz116.rwl,TOW302B,auDB
newz116.rwl,TOW302C,auDC
newz116.rwl,TOW302D,auDD
newz116.rwl,TOW304A,auDE
newz116.rwl,TOW304B,auDF
newz116.rwl,TOW305A,auDG
newz116.rwl,TOW306A,auDH
newz116.rwl,TOW306B,auDI
newz116.rwl,TOW306C,auDJ
newz116.rwl,TOW306D,auDK
newz116.rwl,TOW307A,auDL
newz116.rwl,TOW307B,auDM
newz116.rwl,TOW307C,auDN
newz116.rwl,TOW307D,auDO
newz116.rwl,TOW308A,auDP
newz116.rwl,TOW309A,auDQ
newz116.rwl,TOW309B,auDR
